Image ID,Resolution Category,Size (KB),Time Taken (ms),TrialNum,Method,Filters
14,1080p,329,145.10,8,WASM,GaussianBlur
14,1080p,329,422.10,9,JS,GaussianBlur
14,1080p,329,141.00,9,WASM,GaussianBlur
14,1080p,329,435.20,10,JS,GaussianBlur
14,1080p,329,142.80,10,WASM,GaussianBlur
15,1080p,322,419.90,1,JS,GaussianBlur
15,1080p,322,144.60,1,WASM,GaussianBlur
15,1080p,322,427.30,2,JS,GaussianBlur
15,1080p,322,142.00,2,WASM,GaussianBlur
15,1080p,322,422.00,3,JS,GaussianBlur
15,1080p,322,141.90,3,WASM,GaussianBlur
15,1080p,322,453.10,4,JS,GaussianBlur
15,1080p,322,187.70,4,WASM,GaussianBlur
15,1080p,322,560.90,5,JS,GaussianBlur
15,1080p,322,177.10,5,WASM,GaussianBlur
15,1080p,322,572.20,6,JS,GaussianBlur
15,1080p,322,145.00,6,WASM,GaussianBlur
15,1080p,322,420.10,7,JS,GaussianBlur
15,1080p,322,146.40,7,WASM,GaussianBlur
15,1080p,322,506.50,8,JS,GaussianBlur
15,1080p,322,156.50,8,WASM,GaussianBlur
15,1080p,322,483.40,9,JS,GaussianBlur
15,1080p,322,141.90,9,WASM,GaussianBlur
15,1080p,322,433.70,10,JS,GaussianBlur
15,1080p,322,142.40,10,WASM,GaussianBlur
16,1080p,440,421.60,1,JS,GaussianBlur
16,1080p,440,139.20,1,WASM,GaussianBlur
16,1080p,440,441.00,2,JS,GaussianBlur
16,1080p,440,145.00,2,WASM,GaussianBlur
16,1080p,440,420.00,3,JS,GaussianBlur
16,1080p,440,145.00,3,WASM,GaussianBlur
16,1080p,440,429.40,4,JS,GaussianBlur
16,1080p,440,145.80,4,WASM,GaussianBlur
16,1080p,440,418.30,5,JS,GaussianBlur
16,1080p,440,145.20,5,WASM,GaussianBlur
16,1080p,440,437.60,6,JS,GaussianBlur
16,1080p,440,143.50,6,WASM,GaussianBlur
16,1080p,440,423.40,7,JS,GaussianBlur
16,1080p,440,143.70,7,WASM,GaussianBlur
16,1080p,440,513.40,8,JS,GaussianBlur
16,1080p,440,145.90,8,WASM,GaussianBlur
16,1080p,440,425.10,9,JS,GaussianBlur
16,1080p,440,145.90,9,WASM,GaussianBlur
16,1080p,440,431.00,10,JS,GaussianBlur
16,1080p,440,141.20,10,WASM,GaussianBlur
17,1080p,337,424.00,1,JS,GaussianBlur
17,1080p,337,143.10,1,WASM,GaussianBlur
17,1080p,337,436.10,2,JS,GaussianBlur
17,1080p,337,143.00,2,WASM,GaussianBlur
17,1080p,337,429.80,3,JS,GaussianBlur
17,1080p,337,139.20,3,WASM,GaussianBlur
17,1080p,337,438.00,4,JS,GaussianBlur
17,1080p,337,143.40,4,WASM,GaussianBlur
17,1080p,337,428.60,5,JS,GaussianBlur
17,1080p,337,143.40,5,WASM,GaussianBlur
17,1080p,337,440.90,6,JS,GaussianBlur
17,1080p,337,142.90,6,WASM,GaussianBlur
17,1080p,337,420.40,7,JS,GaussianBlur
17,1080p,337,141.00,7,WASM,GaussianBlur
17,1080p,337,443.70,8,JS,GaussianBlur
17,1080p,337,141.90,8,WASM,GaussianBlur
17,1080p,337,430.10,9,JS,GaussianBlur
17,1080p,337,140.20,9,WASM,GaussianBlur
17,1080p,337,432.50,10,JS,GaussianBlur
17,1080p,337,142.60,10,WASM,GaussianBlur
18,1080p,338,417.90,1,JS,GaussianBlur
18,1080p,338,147.80,1,WASM,GaussianBlur
18,1080p,338,445.40,2,JS,GaussianBlur
18,1080p,338,142.10,2,WASM,GaussianBlur
18,1080p,338,457.10,3,JS,GaussianBlur
18,1080p,338,145.80,3,WASM,GaussianBlur
18,1080p,338,445.20,4,JS,GaussianBlur
18,1080p,338,142.40,4,WASM,GaussianBlur
18,1080p,338,416.20,5,JS,GaussianBlur
18,1080p,338,143.90,5,WASM,GaussianBlur
18,1080p,338,450.40,6,JS,GaussianBlur
18,1080p,338,143.30,6,WASM,GaussianBlur
18,1080p,338,425.90,7,JS,GaussianBlur
18,1080p,338,140.00,7,WASM,GaussianBlur
18,1080p,338,429.40,8,JS,GaussianBlur
18,1080p,338,139.80,8,WASM,GaussianBlur
18,1080p,338,424.20,9,JS,GaussianBlur
18,1080p,338,142.10,9,WASM,GaussianBlur
18,1080p,338,432.70,10,JS,GaussianBlur
18,1080p,338,144.00,10,WASM,GaussianBlur
19,1080p,409,424.10,1,JS,GaussianBlur
19,1080p,409,142.30,1,WASM,GaussianBlur
19,1080p,409,433.40,2,JS,GaussianBlur
19,1080p,409,148.40,2,WASM,GaussianBlur
19,1080p,409,426.40,3,JS,GaussianBlur
19,1080p,409,142.90,3,WASM,GaussianBlur
19,1080p,409,438.00,4,JS,GaussianBlur
19,1080p,409,145.00,4,WASM,GaussianBlur
19,1080p,409,422.20,5,JS,GaussianBlur
19,1080p,409,143.90,5,WASM,GaussianBlur
19,1080p,409,439.80,6,JS,GaussianBlur
19,1080p,409,144.70,6,WASM,GaussianBlur
19,1080p,409,416.80,7,JS,GaussianBlur
19,1080p,409,145.00,7,WASM,GaussianBlur
19,1080p,409,447.80,8,JS,GaussianBlur
19,1080p,409,143.70,8,WASM,GaussianBlur
19,1080p,409,427.50,9,JS,GaussianBlur
19,1080p,409,196.70,9,WASM,GaussianBlur
19,1080p,409,490.50,10,JS,GaussianBlur
19,1080p,409,154.00,10,WASM,GaussianBlur
20,1080p,381,472.50,1,JS,GaussianBlur
20,1080p,381,162.10,1,WASM,GaussianBlur
20,1080p,381,479.60,2,JS,GaussianBlur
20,1080p,381,159.30,2,WASM,GaussianBlur
20,1080p,381,455.60,3,JS,GaussianBlur
20,1080p,381,153.60,3,WASM,GaussianBlur
20,1080p,381,454.70,4,JS,GaussianBlur
20,1080p,381,143.70,4,WASM,GaussianBlur
20,1080p,381,434.80,5,JS,GaussianBlur
20,1080p,381,168.00,5,WASM,GaussianBlur
20,1080p,381,452.00,6,JS,GaussianBlur
20,1080p,381,161.30,6,WASM,GaussianBlur
20,1080p,381,482.30,7,JS,GaussianBlur
20,1080p,381,161.60,7,WASM,GaussianBlur
20,1080p,381,482.30,8,JS,GaussianBlur
20,1080p,381,157.20,8,WASM,GaussianBlur
20,1080p,381,464.70,9,JS,GaussianBlur
20,1080p,381,146.50,9,WASM,GaussianBlur
20,1080p,381,447.10,10,JS,GaussianBlur
20,1080p,381,150.10,10,WASM,GaussianBlur
21,2K,475,819.80,1,JS,GaussianBlur
21,2K,475,262.70,1,WASM,GaussianBlur
21,2K,475,805.70,2,JS,GaussianBlur
21,2K,475,251.60,2,WASM,GaussianBlur
21,2K,475,857.80,3,JS,GaussianBlur
21,2K,475,259.50,3,WASM,GaussianBlur
21,2K,475,868.10,4,JS,GaussianBlur
21,2K,475,271.10,4,WASM,GaussianBlur
21,2K,475,812.80,5,JS,GaussianBlur
21,2K,475,268.50,5,WASM,GaussianBlur
21,2K,475,807.90,6,JS,GaussianBlur
21,2K,475,255.20,6,WASM,GaussianBlur
21,2K,475,772.90,7,JS,GaussianBlur
21,2K,475,249.80,7,WASM,GaussianBlur
21,2K,475,788.90,8,JS,GaussianBlur
21,2K,475,255.80,8,WASM,GaussianBlur
21,2K,475,790.40,9,JS,GaussianBlur
21,2K,475,255.60,9,WASM,GaussianBlur
21,2K,475,782.40,10,JS,GaussianBlur
21,2K,475,262.50,10,WASM,GaussianBlur
22,2K,631,798.60,1,JS,GaussianBlur
22,2K,631,255.90,1,WASM,GaussianBlur
22,2K,631,784.70,2,JS,GaussianBlur
22,2K,631,259.30,2,WASM,GaussianBlur
22,2K,631,776.40,3,JS,GaussianBlur
22,2K,631,251.70,3,WASM,GaussianBlur
22,2K,631,782.40,4,JS,GaussianBlur
22,2K,631,253.40,4,WASM,GaussianBlur
22,2K,631,784.80,5,JS,GaussianBlur
22,2K,631,255.00,5,WASM,GaussianBlur
22,2K,631,815.80,6,JS,GaussianBlur
22,2K,631,263.60,6,WASM,GaussianBlur
22,2K,631,780.70,7,JS,GaussianBlur
22,2K,631,254.70,7,WASM,GaussianBlur
22,2K,631,777.30,8,JS,GaussianBlur
22,2K,631,253.50,8,WASM,GaussianBlur
22,2K,631,775.50,9,JS,GaussianBlur
22,2K,631,253.50,9,WASM,GaussianBlur
22,2K,631,774.50,10,JS,GaussianBlur
22,2K,631,252.40,10,WASM,GaussianBlur
23,2K,580,779.80,1,JS,GaussianBlur
23,2K,580,252.10,1,WASM,GaussianBlur
23,2K,580,791.50,2,JS,GaussianBlur
23,2K,580,252.20,2,WASM,GaussianBlur
23,2K,580,770.30,3,JS,GaussianBlur
23,2K,580,262.80,3,WASM,GaussianBlur
23,2K,580,779.50,4,JS,GaussianBlur
23,2K,580,246.30,4,WASM,GaussianBlur
23,2K,580,785.20,5,JS,GaussianBlur
23,2K,580,257.40,5,WASM,GaussianBlur
23,2K,580,772.80,6,JS,GaussianBlur
23,2K,580,253.00,6,WASM,GaussianBlur
23,2K,580,767.60,7,JS,GaussianBlur
23,2K,580,245.80,7,WASM,GaussianBlur
23,2K,580,783.40,8,JS,GaussianBlur
23,2K,580,369.10,8,WASM,GaussianBlur
23,2K,580,835.40,9,JS,GaussianBlur
23,2K,580,255.50,9,WASM,GaussianBlur
23,2K,580,790.70,10,JS,GaussianBlur
23,2K,580,258.00,10,WASM,GaussianBlur
24,2K,579,782.40,1,JS,GaussianBlur
24,2K,579,254.10,1,WASM,GaussianBlur
24,2K,579,784.90,2,JS,GaussianBlur
24,2K,579,251.30,2,WASM,GaussianBlur
24,2K,579,787.40,3,JS,GaussianBlur
24,2K,579,248.50,3,WASM,GaussianBlur
24,2K,579,802.00,4,JS,GaussianBlur
24,2K,579,288.30,4,WASM,GaussianBlur
24,2K,579,800.40,5,JS,GaussianBlur
24,2K,579,254.20,5,WASM,GaussianBlur
24,2K,579,771.40,6,JS,GaussianBlur
24,2K,579,249.40,6,WASM,GaussianBlur
24,2K,579,786.90,7,JS,GaussianBlur
24,2K,579,253.70,7,WASM,GaussianBlur
24,2K,579,760.10,8,JS,GaussianBlur
24,2K,579,248.60,8,WASM,GaussianBlur
24,2K,579,789.60,9,JS,GaussianBlur
24,2K,579,261.90,9,WASM,GaussianBlur
24,2K,579,770.30,10,JS,GaussianBlur
24,2K,579,245.20,10,WASM,GaussianBlur
25,2K,603,770.40,1,JS,GaussianBlur
25,2K,603,248.30,1,WASM,GaussianBlur
25,2K,603,789.10,2,JS,GaussianBlur
25,2K,603,260.60,2,WASM,GaussianBlur
25,2K,603,830.70,3,JS,GaussianBlur
25,2K,603,247.70,3,WASM,GaussianBlur
25,2K,603,776.60,4,JS,GaussianBlur
25,2K,603,250.10,4,WASM,GaussianBlur
25,2K,603,782.10,5,JS,GaussianBlur
25,2K,603,252.40,5,WASM,GaussianBlur
25,2K,603,771.90,6,JS,GaussianBlur
25,2K,603,251.80,6,WASM,GaussianBlur
25,2K,603,778.90,7,JS,GaussianBlur
25,2K,603,254.40,7,WASM,GaussianBlur
25,2K,603,774.30,8,JS,GaussianBlur
25,2K,603,251.40,8,WASM,GaussianBlur
25,2K,603,772.50,9,JS,GaussianBlur
25,2K,603,246.90,9,WASM,GaussianBlur
25,2K,603,780.30,10,JS,GaussianBlur
25,2K,603,257.80,10,WASM,GaussianBlur
26,2K,590,797.00,1,JS,GaussianBlur
26,2K,590,254.30,1,WASM,GaussianBlur
26,2K,590,774.10,2,JS,GaussianBlur
26,2K,590,252.20,2,WASM,GaussianBlur
26,2K,590,779.60,3,JS,GaussianBlur
26,2K,590,259.80,3,WASM,GaussianBlur
26,2K,590,779.20,4,JS,GaussianBlur
26,2K,590,252.40,4,WASM,GaussianBlur
26,2K,590,796.30,5,JS,GaussianBlur
26,2K,590,250.70,5,WASM,GaussianBlur
26,2K,590,795.60,6,JS,GaussianBlur
26,2K,590,247.90,6,WASM,GaussianBlur
26,2K,590,776.00,7,JS,GaussianBlur
26,2K,590,253.20,7,WASM,GaussianBlur
26,2K,590,768.70,8,JS,GaussianBlur
26,2K,590,261.50,8,WASM,GaussianBlur
26,2K,590,777.90,9,JS,GaussianBlur
26,2K,590,252.00,9,WASM,GaussianBlur
26,2K,590,763.90,10,JS,GaussianBlur
26,2K,590,251.70,10,WASM,GaussianBlur
27,2K,720,777.40,1,JS,GaussianBlur
27,2K,720,250.10,1,WASM,GaussianBlur
27,2K,720,779.70,2,JS,GaussianBlur
27,2K,720,253.80,2,WASM,GaussianBlur
27,2K,720,767.20,3,JS,GaussianBlur
27,2K,720,255.40,3,WASM,GaussianBlur
27,2K,720,772.00,4,JS,GaussianBlur
27,2K,720,247.40,4,WASM,GaussianBlur
27,2K,720,778.20,5,JS,GaussianBlur
27,2K,720,247.60,5,WASM,GaussianBlur
27,2K,720,766.40,6,JS,GaussianBlur
27,2K,720,250.80,6,WASM,GaussianBlur
27,2K,720,782.60,7,JS,GaussianBlur
27,2K,720,251.30,7,WASM,GaussianBlur
27,2K,720,776.10,8,JS,GaussianBlur
27,2K,720,253.30,8,WASM,GaussianBlur
27,2K,720,779.50,9,JS,GaussianBlur
27,2K,720,250.80,9,WASM,GaussianBlur
27,2K,720,821.10,10,JS,GaussianBlur
27,2K,720,251.30,10,WASM,GaussianBlur
28,2K,681,767.80,1,JS,GaussianBlur
28,2K,681,247.60,1,WASM,GaussianBlur
28,2K,681,779.50,2,JS,GaussianBlur
28,2K,681,249.10,2,WASM,GaussianBlur
28,2K,681,767.80,3,JS,GaussianBlur
28,2K,681,250.80,3,WASM,GaussianBlur
28,2K,681,765.90,4,JS,GaussianBlur
28,2K,681,256.90,4,WASM,GaussianBlur
28,2K,681,759.40,5,JS,GaussianBlur
28,2K,681,253.20,5,WASM,GaussianBlur
28,2K,681,757.00,6,JS,GaussianBlur
28,2K,681,249.40,6,WASM,GaussianBlur
28,2K,681,773.40,7,JS,GaussianBlur
28,2K,681,255.20,7,WASM,GaussianBlur
28,2K,681,794.70,8,JS,GaussianBlur
